fecha,codigo_gps,coordenada_completa,longitug,latitud,fn_valor_pastoral
01/2017,CM2 T15,-67.2104425/-43.076166,-67.2104425,-43.076166,"10,40"
01/2016,CM2 T16,-67.2519278/-43.0169183,-67.2519278,-43.0169183,"1,80"
01/2017,CM2 T16,-67.2519278/-43.0169183,-67.2519278,-43.0169183,"7,80"
01/2016,CM2 T17,-67.2868725/-42.954007,-67.2868725,-42.954007,"15,20"
01/2017,CM2 T17,-67.2868725/-42.954007,-67.2868725,-42.954007,"25,60"
01/2016,CM2 T18,-67.3718167/-42.921079,-67.3718167,-42.921079,"2,60"
01/2017,CM2 T18,-67.3718167/-42.921079,-67.3718167,-42.921079,"2,00"
01/2016,CM2 T19,-67.444265/-42.8928328,-67.444265,-42.8928328,"4,20"
01/2017,CM2 T19,-67.444265/-42.8928328,-67.444265,-42.8928328,"0,00"
01/2016,CM2 T20,-67.518845/-42.87925,-67.518845,-42.87925,"11,00"
01/2017,CM2 T20,-67.518845/-42.87925,-67.518845,-42.87925,"21,00"
01/2016,CM2 T21,-67.6363205/-42.8935306,-67.6363205,-42.8935306,"1,80"
01/2017,CM2 T21,-67.6363205/-42.8935306,-67.6363205,-42.8935306,"4,20"
02/2016,CM2 T22,-67.2226039/-43.3351336,-67.2226039,-43.3351336,"9,20"
01/2017,CM2 T22,-67.2226039/-43.3351336,-67.2226039,-43.3351336,"12,60"
02/2016,CM2 T23,-67.3085984/-43.345154,-67.3085984,-43.345154,"3,80"
01/2017,CM2 T23,-67.3085984/-43.345154,-67.3085984,-43.345154,"5,80"
02/2016,CM2 T24,-67.3921578/-43.3689057,-67.3921578,-43.3689057,"6,40"
01/2017,CM2 T24,-67.3921578/-43.3689057,-67.3921578,-43.3689057,"9,20"
02/2016,CM2 T25,-67.4814226/-43.3824985,-67.4814226,-43.3824985,"6,20"
01/2017,CM2 T25,-67.4814226/-43.3824985,-67.4814226,-43.3824985,"14,00"
02/2016,CP2 T01,-67.7838986/-43.4977699,-67.7838986,-43.4977699,"3,00"
01/2017,CP2 T01,-67.7838986/-43.4977699,-67.7838986,-43.4977699,"7,80"
